acronym
LSX
LSc
LSr
LSv
LT
LZ
MA
MA3
MARN
MB
MBO
MBmot
MBsen
MBsta
MD
MDRN
MDRNd
MDRNv
ME
MEA
MED
MEPO
MEV
MEZ
MG
MGd
MGm
MGv
MH
MM
MMd
MMl
MMm
MMme
MMp
MO
MOB
MOp
MOp1
MOp2/3
MOp5
MOp6a
MOp6b
MOs
MOs1
MOs2/3
MOs5
MOs6a
MOs6b
MPN
MPO
MPT
MRN
MS
MSC
MT
MTN
MV
MY
MY-mot
MY-sat
MY-sen
NB
ND
NDB
NI
NLL
NLOT
NLOT1
NLOT2
NLOT3
NOD
NOT
NPC
NR
NTB
NTS
OLF
OP
ORB
ORBl
ORBl1
ORBl2/3
ORBl5
ORBl6a
ORBl6b
ORBm
ORBm1
ORBm2/3
ORBm5
ORBm6a
ORBm6b
ORBvl
ORBvl1
ORBvl2/3
ORBvl5
ORBvl6a
ORBvl6b
OT
OV
P
P-mot
P-sat
P-sen
P5
PA
PAA
PAG
PAL
PALc
PALd
PALm
PALv
PAR
PARN
PAS
PB
PBG
PC5
PCG
PCN
PD
PDTg
PERI
PERI1
PERI2/3
PERI5
PERI6a
PERI6b
PF
PFL
PG
PGRN
PGRNd
PGRNl
PH
PHY
PIL
PIR
PL
PL1
PL2/3
PL5
PL6a
PL6b
PMd
PMv
PN
PO
POL
POR
POST
PP
PPN
PPT
PPY
PR
PRC
PRE
PRM
PRNc
PRNr
PRP
PRT
PS
PST
PSTN
PSV
PT
PTLp
PVH
PVHd
PVR
PVT
PVZ
PVa
PVi
PVp
PVpo
PYR
Pa4
Pa5
PeF
PoT
ProS
RAmb
RCH
RE
RH
RHP
RL
RM
RN
RO
RPA
RPF
RPO
RR
RSP
RSPagl
RSPagl1
RSPagl2/3
RSPagl5
RSPagl6a
RSPagl6b
RSPd
RSPd1
RSPd2/3
RSPd5
RSPd6a
RSPd6b
RSPv
RSPv1
RSPv2/3
RSPv5
RSPv6a
RSPv6b
RT
SAG
SBPV
SCH
SCO
SCdg
SCdw
SCig
SCiw
SCm
SCop
SCs
SCsg
SCzo
SEZ
SF
SFO
SG
SGN
SH
SI
SIM
SLC
SLD
SMT
SNc
SNr
SO
SOC
SOCl
SOCm
SPA
SPF
SPFm
SPFp
SPIV
SPVC
SPVI
SPVO
SS
SSp
SSp-bfd
SSp-bfd1
SSp-bfd2/3
SSp-bfd4
SSp-bfd5
SSp-bfd6a
SSp-bfd6b
SSp-ll
SSp-ll1
SSp-ll2/3
SSp-ll4
SSp-ll5
SSp-ll6a
SSp-ll6b
SSp-m
SSp-m1
SSp-m2/3
SSp-m4
SSp-m5
SSp-m6a
SSp-m6b
SSp-n
SSp-n1
SSp-n2/3
SSp-n4
SSp-n5
SSp-n6a
SSp-n6b
SSp-tr
SSp-tr1
SSp-tr2/3
SSp-tr4
SSp-tr5
SSp-tr6a
SSp-tr6b
SSp-ul
SSp-ul1
SSp-ul2/3
SSp-ul4
SSp-ul5
SSp-ul6a
SSp-ul6b
SSp-un
SSp-un1
SSp-un2/3
SSp-un4
SSp-un5
SSp-un6a
SSp-un6b
SSs
SSs1
SSs2/3
SSs4
SSs5
SSs6a
SSs6b
STN
STR
STRd
STRv
SUB
SUM
SUT
SUV
Su3
SubG
TEa
TEa1
TEa2/3
TEa4
TEa5
TEa6a
TEa6b
TH
TM
TMd
TMv
TR
TRN
TRS
TT
TTd
TTv
TU
UVU
V
V3
V4
V4r
VAL
VCO
VENT
VERM
VI
VII
VIIIn
VIIn
VIS
VISC
VISC1
VISC2/3
VISC4
VISC5
VISC6a
VISC6b
VISa
VISa1
VISa2/3
VISa4
VISa5
VISa6a
VISa6b
VISal
VISal1
VISal2/3
VISal4
VISal5
VISal6a
VISal6b
VISam
VISam1
VISam2/3
VISam4
VISam5
VISam6a
VISam6b
VISl
VISl1
VISl2/3
VISl4
VISl5
VISl6a
VISl6b
VISli
VISli1
VISli2/3
VISli4
VISli5
VISli6a
VISli6b
VISp
VISp1
VISp2/3
VISp4
VISp5
VISp6a
VISp6b
VISpl
VISpl1
VISpl2/3
VISpl4
VISpl5
VISpl6a
VISpl6b
VISpm
VISpm1
VISpm2/3
VISpm4
VISpm5
VISpm6a
VISpm6b
VISpor
VISpor1
VISpor2/3
VISpor4
VISpor5
VISpor6a
VISpor6b
VISrl
VISrl1
VISrl2/3
VISrl4
VISrl5
VISrl6a
VISrl6b
VL
VLPO
VM
VMH
VMPO
VNC
VP
VPL
VPLpc
VPM
VPMpc
VS
VTA
VTN
VeCB
Vn
XII
Xi
Xn
ZI
aco
act
alv
amc
ar
arb
bic
bsc
c
cVIIIn
cbc
cbf
cbp
cc
ccb
ccg
ccs
cett
chpl
cic
cing
cm
cpd
csc
cst
cuf
das
dc
df
dhc
drt
dscp
dtd
ec
ee
em
eps
epsc
fa
fi
fiber tracts
fp
fr
fx
fxpo
fxs
gVIIn
grey
hbc
hc
icp
int
lfbs
lfbst
ll
lot
lotd
lotg
mcp
mct
mfb
mfbc
mfbs
mfbse
mfbsma
mfsbshy
ml
mlf
moV
mp
mtg
mtt
nst
och
onl
opt
or
pc
pm
py
pyd
rust
sAMY
sV
scp
sctd
sctv
scwm
sm
sptV
st
stc
sup
tb
ts
tsp
tspc
uf
vVIIIn
vhc
vtd
x
y
